Date_Time,North_Pole_Field_Gauss,South_Pole_Field_Gauss,Average_Field_Gauss,North_Filtered_Gauss,South_Filtered_Gauss,Average_Filtered_Gauss
2007:03:10_21h:07m:13s,-40N,91S,-65Avg,-63Nf,57Sf,-60Avgf
2007:03:20_21h:07m:13s,-42N,91S,-67Avg,-62Nf,57Sf,-60Avgf
2007:03:30_21h:07m:13s,-43N,85S,-64Avg,-62Nf,57Sf,-59Avgf
2007:04:09_21h:07m:13s,-38N,78S,-58Avg,-62Nf,56Sf,-59Avgf
2007:04:19_21h:07m:13s,-40N,70S,-55Avg,-62Nf,56Sf,-59Avgf
2007:04:29_21h:07m:13s,-47N,70S,-59Avg,-61Nf,56Sf,-59Avgf
2007:05:09_21h:07m:13s,-54N,69S,-61Avg,-61Nf,56Sf,-58Avgf
2007:05:19_21h:07m:13s,-59N,64S,-62Avg,-60Nf,55Sf,-58Avgf
2007:05:29_21h:07m:13s,-62N,65S,-64Avg,-60Nf,55Sf,-58Avgf
2007:06:08_21h:07m:13s,-62N,60S,-61Avg,-60Nf,55Sf,-57Avgf
2007:06:18_21h:07m:13s,-64N,51S,-57Avg,-59Nf,54Sf,-57Avgf
2007:06:28_21h:07m:13s,-66N,47S,-57Avg,-59Nf,54Sf,-57Avgf
2007:07:08_21h:07m:13s,-73N,42S,-58Avg,-59Nf,54Sf,-56Avgf
2007:07:18_21h:07m:13s,-77N,44S,-61Avg,-58Nf,54Sf,-56Avgf
2007:07:28_21h:07m:13s,-83N,36S,-60Avg,-58Nf,53Sf,-56Avgf
2007:08:07_21h:07m:13s,-83N,31S,-57Avg,-58Nf,53Sf,-55Avgf
2007:08:17_21h:07m:13s,-85N,25S,-55Avg,-58Nf,53Sf,-55Avgf
2007:08:27_21h:07m:13s,-81N,24S,-53Avg,-57Nf,52Sf,-55Avgf
2007:09:06_21h:07m:13s,-83N,24S,-53Avg,-57Nf,52Sf,-55Avgf
2007:09:16_21h:07m:13s,-80N,25S,-52Avg,-57Nf,52Sf,-54Avgf
2007:09:26_21h:07m:13s,-77N,20S,-49Avg,-57Nf,51Sf,-54Avgf
2007:10:06_21h:07m:13s,-78N,22S,-50Avg,-57Nf,51Sf,-54Avgf
2007:10:16_21h:07m:13s,-71N,23S,-47Avg,-56Nf,51Sf,-54Avgf
2007:10:26_21h:07m:13s,-68N,34S,-51Avg,-56Nf,51Sf,-54Avgf
2007:11:05_21h:07m:13s,-62N,31S,-47Avg,-56Nf,51Sf,-53Avgf
2007:11:15_21h:07m:13s,-64N,35S,-49Avg,-56Nf,51Sf,-53Avgf
2007:11:25_21h:07m:13s,-63N,35S,-49Avg,-56Nf,50Sf,-53Avgf
2007:12:05_21h:07m:13s,-57N,44S,-51Avg,-56Nf,50Sf,-53Avgf
2007:12:15_21h:07m:13s,-52N,52S,-52Avg,-56Nf,50Sf,-53Avgf
2007:12:25_21h:07m:13s,-42N,63S,-52Avg,-56Nf,50Sf,-53Avgf
2008:01:04_21h:07m:13s,-38N,62S,-50Avg,-56Nf,50Sf,-53Avgf
2008:01:14_21h:07m:13s,-36N,62S,-49Avg,-56Nf,51Sf,-53Avgf
2008:01:24_21h:07m:13s,-31N,60S,-46Avg,-56Nf,51Sf,-53Avgf
2008:02:03_21h:07m:13s,-27N,73S,-50Avg,-56Nf,51Sf,-53Avgf
2008:02:13_21h:07m:13s,-29N,72S,-51Avg,-56Nf,51Sf,-53Avgf
