Carr Rot,Start Date,R_av,R_n,R_s,L_av,L_n,L_s
CR 1884,1994-06-23 06h,12.3,8.5,-16.2,26.1,21.4,-30.8
CR 1885,1994-07-20 12h,10,6.9,-13.2,22.7,18.5,-26.9
CR 1886,1994-08-16 19h,10.4,8.7,-12,23,19.6,-26.4
CR 1887,1994-09-13 01h,11.2,9.8,-12.7,25.2,21.5,-28.9
CR 1888,1994-10-10 08h,10.7,9.8,-11.5,24.1,21.5,-26.8
CR 1889,1994-11-06 15h,10.7,9.8,-11.5,23,20.5,-25.6
CR 1890,1994-12-03 21h,9.1,5.3,-12.8,23.2,18.1,-28.3
CR 1891,1994-12-31 04h,9.8,5.2,-14.4,22.1,17.6,-26.5
CR 1892,1995-01-27 10h,8.6,4.1,-13.1,21,14.8,-27.2
CR 1893,1995-02-23 17h,7.7,3.7,-11.7,19.4,16.8,-22
CR 1894,1995-03-23 00h,11.6,7.3,-15.8,25.9,20.4,-31.3
CR 1895,1995-04-19 06h,10.2,6.1,-14.4,25.4,19.4,-31.3
CR 1896,1995-05-16 13h,10,6.9,-13.1,24,16.5,-31.6
CR 1897,1995-06-12 19h,10.3,8.5,-12,25.5,21.3,-29.7
CR 1898,1995-07-10 02h,10,8.5,-11.5,22.1,17.7,-26.5
CR 1899,1995-08-06 09h,6.8,5.8,-7.9,18.6,17.8,-19.3
CR 1900,1995-09-02 15h,7.2,6.1,-8.4,20.2,20.4,-19.9
CR 1901,1995-09-29 22h,5.9,6.4,-5.4,18.4,21.1,-15.7
CR 1902,1995-10-27 04h,5.3,3,-7.6,17.1,18,-16.2
CR 1903,1995-11-23 11h,5.4,3,-7.9,14.3,12.1,-16.5
CR 1904,1995-12-20 18h,4.3,4.1,-4.5,9.7,8.7,-10.7
CR 1905,1996-01-17 00h,3,3.1,-2.8,9.7,9.9,-9.5
CR 1906,1996-02-13 07h,2.8,3.8,-1.8,8.9,12.7,-5
CR 1907,1996-03-11 13h,4.5,2.9,-6.1,14.3,12.1,-16.6
CR 1908,1996-04-07 20h,5,4.4,-5.7,14.2,12.6,-15.9
CR 1909,1996-05-05 03h,4.2,3.8,-4.6,11.6,11.7,-11.5
CR 1910,1996-06-01 09h,4.8,4.8,-4.8,13.1,14.4,-11.8
CR 1911,1996-06-28 16h,6.1,9.7,-2.5,18.4,22.2,-14.7
CR 1912,1996-07-25 22h,7.7,12.4,-2.9,20.2,23.6,-16.7
CR 1913,1996-08-22 05h,9.3,15.9,-2.7,24.9,28.4,-21.5
CR 1914,1996-09-18 12h,10,15.2,-4.9,25.5,28.4,-22.6
CR 1915,1996-10-15 18h,6.3,11.5,-1.1,19.7,23.6,-15.8
CR 1916,1996-11-12 01h,7.1,7,-7.2,15.7,13,-18.5
CR 1917,1996-12-09 08h,9.8,10.8,-8.7,24.7,27.4,-21.9
CR 1918,1997-01-05 14h,8.5,5.2,-11.9,25.6,22.3,-29
CR 1919,1997-02-01 21h,5.1,1.3,-9,16.9,14.5,-19.4
CR 1920,1997-03-01 03h,2.7,2.2,-3.2,12.6,18.3,-6.8
CR 1921,1997-03-28 10h,3.7,2.9,-4.5,15.7,19.9,-11.5
CR 1922,1997-04-24 17h,4.9,7.6,-2.3,13.5,20.9,-6
CR 1923,1997-05-21 23h,4.4,6.6,-2.1,12.6,16.2,-9.1
CR 1924,1997-06-18 06h,4.5,7.2,-1.8,13.5,17.7,-9.3
CR 1925,1997-07-15 12h,7,9,-5.1,19.8,18.9,-20.8
CR 1926,1997-08-11 19h,13.9,17.1,-10.8,34.6,39.4,-29.9
CR 1927,1997-09-08 02h,12.6,11.9,-13.3,33.7,30.4,-37
CR 1928,1997-10-05 08h,8.4,9.6,-7.3,21,23.3,-18.6
CR 1929,1997-11-01 15h,3.5,7.1,0.2,12.9,12.9,-13
CR 1930,1997-11-28 21h,6.7,10.5,-2.9,26.6,31.3,-22
CR 1931,1997-12-26 04h,9.1,8.7,-9.6,25.5,22,-29
CR 1932,1998-01-22 11h,17.8,17.1,-18.6,36.5,32.1,-40.8
CR 1933,1998-02-18 17h,15.7,13.5,-17.9,29.3,24.6,-34
CR 1934,1998-03-18 00h,33.9,24.2,-43.6,51.9,40.4,-63.4
CR 1935,1998-04-14 06h,34.7,26.3,-43.1,52.6,42.1,-63
CR 1936,1998-05-11 13h,24,20.8,-27.2,39.7,30.7,-48.6
