%OSF estimates from the combined ACE and Wind 128-second magnetic field and electron data. See the paper 'Estimating the Open Solar Flux from In-Situ Measurements' for more info.
%
%(Anna Frost, 06/04/22)
%
%Year	Month	Day	Hour	Minute	Second	OSF (x10^{14} Wb)	OSF minimum (x10^{14} Wb)	OSF maximum (x10^{14} Wb)	Absolute OSF error (x10^{14} Wb)	Open Flux (%)	Inverted Flux (%)	Newly-Opened Flux (%)	Disconnected Flux (%)	Available Data (%)
2001	10	17	0	6	46	5.527661399	5.165108537	5.89021426	6.558883324	38.37526139	16.01926367	37.04454724	8.560927698	85.73368827
2001	11	13	6	35	34	9.04763977	8.529544132	9.565735408	5.72630709	56.38721775	8.4147199	31.72904133	3.469021017	69.52955237
2001	12	10	13	4	22	9.394274873	8.943658613	9.844891133	4.796711467	74.6799431	11.32509027	12.03632783	1.958638801	99.29917966
2002	1	6	19	33	10	10.48749956	9.997548511	10.97745061	4.67176228	85.64113738	6.656498529	4.58655627	3.115807822	99.73379693
2002	2	3	2	1	58	9.974402549	9.509356893	10.43944821	4.662391091	84.82356785	5.902853409	5.489000218	3.784578523	99.76639322
2002	3	2	8	30	46	8.535397764	8.074563633	8.996231895	5.399093795	68.0721205	13.64578084	15.39839857	2.883700095	97.01760104
2002	3	29	14	59	34	7.46432241	7.101733679	7.826911142	4.857624196	66.20977027	15.81227041	14.92954658	3.048412742	99.08730374
2002	4	25	21	28	22	11.23702266	10.6732686	11.80077672	5.016934409	88.11821139	9.031262061	1.32326184	1.527264708	98.53316673
2002	5	23	3	57	10	8.857861554	8.430900275	9.284822832	4.82013944	75.80353721	11.66292504	7.337239227	5.196298527	99.21768892
2002	6	19	10	25	58	7.186811626	6.843091975	7.530531278	4.782644502	71.17235346	15.49650044	8.666885389	4.664260717	99.34810952
2002	7	16	16	54	46	6.846769575	6.440625391	7.252913759	5.931909634	65.92344853	20.19323671	11.0739502	2.809364548	73.09719129
2002	8	12	23	23	34	8.583798187	8.024066793	9.143529581	6.520789301	71.83550157	15.54966397	11.51119058	1.103643874	88.1132178
2002	9	9	5	52	22	8.118960813	7.59178663	8.646134995	6.493123872	69.59662117	16.74113974	12.34008692	1.32215217	88.75427826
2002	10	6	12	21	10	11.64432671	10.88049145	12.40816197	6.559720284	70.34042822	10.50969494	18.25301585	0.896860987	86.01151673
2002	11	2	18	49	58	10.54014469	9.882846563	11.19744282	6.236139535	68.56165595	11.05148316	20.30429911	0.082561774	92.12256207
2002	11	30	1	18	46	11.21347909	10.68488324	11.74207494	4.713932631	77.79717419	8.433800666	13.26168785	0.507337297	99.5871136
2002	12	27	7	47	34	9.771461091	9.213671695	10.32925049	5.708352016	80.73097255	13.6815779	4.609787984	0.97766157	95.57776933
2003	1	23	14	16	22	11.80908817	11.15618643	12.46198991	5.528807407	83.02545618	9.472854246	6.504843433	0.996846137	96.45806171
2003	2	19	20	45	10	11.03378997	10.51504321	11.55253674	4.701437712	89.37237581	7.574022575	2.377446971	0.676154643	99.63057532
2003	3	19	3	13	58	9.161839182	8.732961262	9.590717102	4.681133469	83.50588492	12.58718396	2.435701831	1.471229294	99.70120063
2003	4	15	9	42	46	10.43331189	9.847928539	11.01869524	5.610714568	86.73827021	9.615602035	1.526286037	2.119841718	96.10474276
2003	5	12	16	11	34	9.286073404	8.851670404	9.720476405	4.678005243	77.00354127	11.20675565	6.908199401	4.881503677	99.7120817
2003	6	8	22	40	22	8.867921239	8.438258991	9.297583488	4.845129277	77.5031512	15.64640763	5.343344111	1.507097057	99.13076547
2003	7	6	5	9	10	11.29336628	10.77116326	11.81556929	4.623980149	77.48776509	8.374116368	13.70853725	0.429581294	99.90764383
2003	8	2	11	37	58	10.71722796	10.10623443	11.3282215	5.701040773	80.95763112	9.253425736	9.229799968	0.559143172	68.98462541
2003	8	29	18	6	46	9.542089616	9.064861689	10.01931754	5.0012937	81.14943795	8.94313423	7.769451179	2.137976637	98.58757062
2003	9	26	0	35	34	10.47530601	9.844342223	11.10626979	6.023344639	67.54979331	6.70800451	19.03419767	6.70800451	57.82582713
2003	10	23	7	4	22	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
